"Landshlutar","Aldur","Ár","Kyn","Mannfjöldi eftir landshlutum, kyni og aldri 1. janúar 1998-2023"
"Vestfirðir","Alls","2010","Karlar",3742
"Vestfirðir","Alls","2010","Konur",3524
"Vestfirðir","Alls","2010","Kynsegin/annað",0
"Vestfirðir","Alls","2011","Alls",7037
"Vestfirðir","Alls","2011","Karlar",3584
"Vestfirðir","Alls","2011","Konur",3453
"Vestfirðir","Alls","2011","Kynsegin/annað",0
"Vestfirðir","Alls","2012","Alls",6955
"Vestfirðir","Alls","2012","Karlar",3557
"Vestfirðir","Alls","2012","Konur",3398
"Vestfirðir","Alls","2012","Kynsegin/annað",0
"Vestfirðir","Alls","2013","Alls",7031
"Vestfirðir","Alls","2013","Karlar",3578
"Vestfirðir","Alls","2013","Konur",3453
"Vestfirðir","Alls","2013","Kynsegin/annað",0
"Vestfirðir","Alls","2014","Alls",6972
"Vestfirðir","Alls","2014","Karlar",3541
"Vestfirðir","Alls","2014","Konur",3431
"Vestfirðir","Alls","2014","Kynsegin/annað",0
"Vestfirðir","Alls","2015","Alls",6970
"Vestfirðir","Alls","2015","Karlar",3555
"Vestfirðir","Alls","2015","Konur",3415
"Vestfirðir","Alls","2015","Kynsegin/annað",0
"Vestfirðir","Alls","2016","Alls",6883
"Vestfirðir","Alls","2016","Karlar",3533
"Vestfirðir","Alls","2016","Konur",3350
"Vestfirðir","Alls","2016","Kynsegin/annað",0
"Vestfirðir","Alls","2017","Alls",6870
"Vestfirðir","Alls","2017","Karlar",3545
"Vestfirðir","Alls","2017","Konur",3325
"Vestfirðir","Alls","2017","Kynsegin/annað",0
"Vestfirðir","Alls","2018","Alls",6994
"Vestfirðir","Alls","2018","Karlar",3641
"Vestfirðir","Alls","2018","Konur",3353
"Vestfirðir","Alls","2018","Kynsegin/annað",0
"Vestfirðir","Alls","2019","Alls",7063
"Vestfirðir","Alls","2019","Karlar",3678
"Vestfirðir","Alls","2019","Konur",3385
"Vestfirðir","Alls","2019","Kynsegin/annað",0
"Vestfirðir","Alls","2020","Alls",7115
"Vestfirðir","Alls","2020","Karlar",3720
"Vestfirðir","Alls","2020","Konur",3395
"Vestfirðir","Alls","2020","Kynsegin/annað",0
"Vestfirðir","Alls","2021","Alls",7108
"Vestfirðir","Alls","2021","Karlar",3705
"Vestfirðir","Alls","2021","Konur",3403
"Vestfirðir","Alls","2021","Kynsegin/annað",0
"Vestfirðir","Alls","2022","Alls",7205
"Vestfirðir","Alls","2022","Karlar",3754
"Vestfirðir","Alls","2022","Konur",3450
"Vestfirðir","Alls","2022","Kynsegin/annað",1
"Vestfirðir","Alls","2023","Alls",7379
"Vestfirðir","Alls","2023","Karlar",3874
"Vestfirðir","Alls","2023","Konur",3503
"Vestfirðir","Alls","2023","Kynsegin/annað",2
"Norðurland vestra","Alls","1998","Alls",8252
"Norðurland vestra","Alls","1998","Karlar",4235
"Norðurland vestra","Alls","1998","Konur",4017
"Norðurland vestra","Alls","1998","Kynsegin/annað",0
"Norðurland vestra","Alls","1999","Alls",8086
"Norðurland vestra","Alls","1999","Karlar",4171
"Norðurland vestra","Alls","1999","Konur",3915
"Norðurland vestra","Alls","1999","Kynsegin/annað",0
"Norðurland vestra","Alls","2000","Alls",7970
"Norðurland vestra","Alls","2000","Karlar",4094
"Norðurland vestra","Alls","2000","Konur",3876
"Norðurland vestra","Alls","2000","Kynsegin/annað",0
"Norðurland vestra","Alls","2001","Alls",7960
"Norðurland vestra","Alls","2001","Karlar",4102
"Norðurland vestra","Alls","2001","Konur",3858
"Norðurland vestra","Alls","2001","Kynsegin/annað",0
"Norðurland vestra","Alls","2002","Alls",7900
"Norðurland vestra","Alls","2002","Karlar",4058
"Norðurland vestra","Alls","2002","Konur",3842
"Norðurland vestra","Alls","2002","Kynsegin/annað",0
"Norðurland vestra","Alls","2003","Alls",7859
"Norðurland vestra","Alls","2003","Karlar",4011
"Norðurland vestra","Alls","2003","Konur",3848
"Norðurland vestra","Alls","2003","Kynsegin/annað",0
"Norðurland vestra","Alls","2004","Alls",7812
"Norðurland vestra","Alls","2004","Karlar",3980
"Norðurland vestra","Alls","2004","Konur",3832
"Norðurland vestra","Alls","2004","Kynsegin/annað",0
"Norðurland vestra","Alls","2005","Alls",7699
"Norðurland vestra","Alls","2005","Karlar",3923
"Norðurland vestra","Alls","2005","Konur",3776
"Norðurland vestra","Alls","2005","Kynsegin/annað",0
"Norðurland vestra","Alls","2006","Alls",7623
"Norðurland vestra","Alls","2006","Karlar",3894
"Norðurland vestra","Alls","2006","Konur",3729
"Norðurland vestra","Alls","2006","Kynsegin/annað",0
"Norðurland vestra","Alls","2007","Alls",7557
"Norðurland vestra","Alls","2007","Karlar",3863
"Norðurland vestra","Alls","2007","Konur",3694
"Norðurland vestra","Alls","2007","Kynsegin/annað",0
"Norðurland vestra","Alls","2008","Alls",7482
"Norðurland vestra","Alls","2008","Karlar",3835
"Norðurland vestra","Alls","2008","Konur",3647
"Norðurland vestra","Alls","2008","Kynsegin/annað",0
"Norðurland vestra","Alls","2009","Alls",7499
"Norðurland vestra","Alls","2009","Karlar",3837
"Norðurland vestra","Alls","2009","Konur",3662
"Norðurland vestra","Alls","2009","Kynsegin/annað",0
